id,category,sender,recipient,timestamp,message
1,Family,Uncle,Sis,2025-08-03 01:17:57,Have you eaten? :)
2,Work/Colleague,Raj (PM),Client,2025-11-10 02:58:06,Reminder: submit timesheets.
3,Friend,Alex,Taylor,2025-04-24 22:21:13,What's the plan this weekend?...
4,Couple,You,You,2025-06-03 20:15:45,Can't stop thinking about you.!
5,Friend,Sam,Sam,2025-10-06 17:18:34,Let's plan a trip soon!!
6,Work/Colleague,Liam (QA),Team,2025-02-24 01:50:05,Who will cover the support shift???
7,Mixed/Generic,User1,Contact,2025-01-07 07:51:36,I can't believe this happened! 😂
8,Work/Colleague,Chris (Lead),All,2025-11-01 22:04:55,I'll be WFH tomorrow.
9,Work/Colleague,Priya (Dev),Team,2025-07-05 13:52:17,Meeting moved to 3 PM.!
10,Family,Dad,Sis,2025-08-09 20:39:33,Don't forget your jacket! - can't wait
11,Work/Colleague,Chris (Lead),All,2025-07-23 00:25:49,Meeting moved to 3 PM....
12,Couple,Love,You,2025-10-27 22:02:25,Can't stop thinking about you. - can't wait
13,Work/Colleague,Emma (HR),You,2025-08-08 09:43:45,I'll be WFH tomorrow.
14,Work/Colleague,Priya (Dev),Client,2024-12-30 13:40:24,I'll be WFH tomorrow.!
15,Friend,Taylor,Riley,2025-04-19 09:08:02,Did you watch that new series?🙏
16,Couple,Partner,Partner,2025-11-01 02:23:15,You always make me smile ❤️
17,Friend,Morgan,Sam,2025-05-13 08:41:02,Did you watch that new series?!
18,Mixed/Generic,User2,Contact,2024-12-12 02:12:32,Thanks a lot!
19,Family,Sis,Sis,2025-06-27 14:33:01,Take care of the dog while I'm away.
20,Friend,Riley,Jordan,2025-10-01 07:36:47,"Hey, are you free tonight?..."
21,Friend,Taylor,Jordan,2025-09-03 10:44:29,What's the plan this weekend? - can't wait
22,Mixed/Generic,User1,Contact,2025-03-20 05:40:14,Thanks a lot! - can't wait
23,Friend,Riley,Taylor,2025-07-24 09:43:22,Let's plan a trip soon!
24,Mixed/Generic,Contact,Group,2025-02-26 01:48:03,"BRB, phone's dying."
25,Friend,Jordan,Riley,2025-01-18 14:58:25,I aced the presentation today!...
26,Mixed/Generic,Contact,Contact,2024-11-24 19:01:49,Thanks a lot! :)
27,Couple,Honey,Partner,2025-07-21 22:11:55,Did you take your meds today?
28,Friend,Taylor,Taylor,2025-10-19 07:24:07,"Hey, are you free tonight?"
29,Friend,Alex,Casey,2025-03-06 21:42:51,Wanna grab coffee tomorrow?
30,Friend,Taylor,Jordan,2025-02-02 13:10:13,I aced the presentation today!🙏
31,Friend,Morgan,Taylor,2025-10-06 06:23:12,I aced the presentation today!
32,Couple,Honey,Partner,2024-12-15 06:35:17,Let's have a movie night in.
33,Mixed/Generic,User1,Group,2025-09-30 21:19:35,"BRB, phone's dying. - can't wait"
34,Friend,Jamie,Jordan,2025-08-23 20:14:17,What's the plan this weekend?!
35,Couple,Honey,You,2024-12-26 10:41:51,"Miss you, come home safe."
36,Work/Colleague,Priya (Dev),All,2025-03-21 12:51:14,Meeting moved to 3 PM.!
